0 0.1 1 0.9 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.596602
0 0.1 1 0.95 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.572582
0 0.1 1 1 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.494639 0.551079
0 0.1 1 1.05 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.55166
0 0.1 1 1.1 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.496749 0.551037
0 0.1 1 1.15 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.548621
0 0.1 1 1.2 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.496296 0.54658
0 0.1 1 1.25 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.496296 0.54658
0 0.1 1 1.3 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.49764 0.544895
0 0.1 1 1.35 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.547781
0 0.1 1 1.4 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.546885
0 0.1 1 1.45 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.547878
0 0.1 1 1.5 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.54204
0 0.1 1 1.55 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.533301
0 0.1 1 1.6 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.520917
0 0.1 1 1.65 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.510864
0 0.1 1 1.7 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.505744
0 0.1 1 1.75 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.497622
0 0.1 1 1.8 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.484242
0 0.1 1 1.85 0 0.1  0.04 0.444444 0.625 0.81658 0.625 0.492947 0.464368
